"DEPARTURES_PERFORMED","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","QUARTER",
0.00,"SEA","Seattle, WA","PSP","Palm Springs, CA",1,
0.00,"PSP","Palm Springs, CA","SEA","Seattle, WA",1,
0.00,"ONT","Ontario, CA","SJC","San Jose, CA",4,
1.00,"ONT","Ontario, CA","LAS","Las Vegas, NV",4,
1.00,"PHL","Philadelphia, PA","SMF","Sacramento, CA",4,
1.00,"PHX","Phoenix, AZ","SMF","Sacramento, CA",4,
1.00,"PHX","Phoenix, AZ","SMF","Sacramento, CA",4,
1.00,"SAN","San Diego, CA","CLT","Charlotte, NC",4,
1.00,"SBN","South Bend, IN","LAX","Los Angeles, CA",4,
1.00,"SFO","San Francisco, CA","LAX","Los Angeles, CA",4,
1.00,"SMF","Sacramento, CA","FLG","Flagstaff, AZ",4,
1.00,"SMF","Sacramento, CA","PHL","Philadelphia, PA",4,
1.00,"SMF","Sacramento, CA","PHX","Phoenix, AZ",4,
1.00,"SMF","Sacramento, CA","PHX","Phoenix, AZ",4,
1.00,"ABQ","Albuquerque, NM","LAX","Los Angeles, CA",4,
1.00,"ABQ","Albuquerque, NM","SNA","Santa Ana, CA",4,
1.00,"BUR","Burbank, CA","ABQ","Albuquerque, NM",4,
1.00,"BUR","Burbank, CA","LAS","Las Vegas, NV",4,
1.00,"BUR","Burbank, CA","SAN","San Diego, CA",4,
1.00,"BUR","Burbank, CA","SMF","Sacramento, CA",4,
1.00,"LAX","Los Angeles, CA","OGG","Kahului, HI",2,
1.00,"LAX","Los Angeles, CA","OGG","Kahului, HI",2,
1.00,"LAX","Los Angeles, CA","OGG","Kahului, HI",2,
1.00,"LAX","Los Angeles, CA","OGG","Kahului, HI",2,
1.00,"BUR","Burbank, CA","ONT","Ontario, CA",2,
1.00,"IFP","Bullhead City, AZ","SMF","Sacramento, CA",1,
1.00,"LAX","Los Angeles, CA","RNO","Reno, NV",1,
1.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",2,
1.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",2,
1.00,"ONT","Ontario, CA","AZA","Phoenix, AZ",1,
1.00,"LAX","Los Angeles, CA","CLE","Cleveland, OH",1,
1.00,"BFI","Seattle, WA","SJC","San Jose, CA",1,
1.00,"LMT","Klamath Falls, OR","MOD","Modesto, CA",1,
1.00,"PHX","Phoenix, AZ","SFO","San Francisco, CA",2,
1.00,"PHX","Phoenix, AZ","SFO","San Francisco, CA",2,
1.00,"LGB","Long Beach, CA","BUR","Burbank, CA",1,
1.00,"ONT","Ontario, CA","SAN","San Diego, CA",1,
1.00,"ONT","Ontario, CA","SAN","San Diego, CA",1,
1.00,"PSP","Palm Springs, CA","BUR","Burbank, CA",1,
1.00,"OAK","Oakland, CA","HNL","Honolulu, HI",1,
1.00,"ABQ","Albuquerque, NM","PSP","Palm Springs, CA",2,
1.00,"BWI","Baltimore, MD","ONT","Ontario, CA",4,
1.00,"DEN","Denver, CO","BUR","Burbank, CA",4,
1.00,"GEG","Spokane, WA","OAK","Oakland, CA",4,
1.00,"GEG","Spokane, WA","OAK","Oakland, CA",4,
1.00,"HOU","Houston, TX","OAK","Oakland, CA",4,
1.00,"HOU","Houston, TX","OAK","Oakland, CA",4,
1.00,"HOU","Houston, TX","SAN","San Diego, CA",4,
1.00,"LAS","Las Vegas, NV","OAK","Oakland, CA",4,
1.00,"LAS","Las Vegas, NV","SJC","San Jose, CA",4,
1.00,"LAX","Los Angeles, CA","AMA","Amarillo, TX",4,
1.00,"LAX","Los Angeles, CA","AUS","Austin, TX",4,
1.00,"LAX","Los Angeles, CA","LAS","Las Vegas, NV",4,
1.00,"LAX","Los Angeles, CA","MDW","Chicago, IL",4,
1.00,"LAX","Los Angeles, CA","SMF","Sacramento, CA",4,
1.00,"MCI","Kansas City, MO","LAX","Los Angeles, CA",4,
1.00,"DEN","Denver, CO","ONT","Ontario, CA",2,
1.00,"OGG","Kahului, HI","LAX","Los Angeles, CA",2,
1.00,"SJC","San Jose, CA","BUR","Burbank, CA",1,
1.00,"ELP","El Paso, TX","LAX","Los Angeles, CA",1,
1.00,"ELP","El Paso, TX","LAX","Los Angeles, CA",1,
1.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",2,
1.00,"LAX","Los Angeles, CA","PHL","Philadelphia, PA",2,
1.00,"LAX","Los Angeles, CA","BNA","Nashville, TN",2,
1.00,"FAT","Fresno, CA","PHX","Phoenix, AZ",1,
1.00,"FAT","Fresno, CA","PHX","Phoenix, AZ",1,
1.00,"SFO","San Francisco, CA","DFW","Dallas/Fort Worth, TX",1,
1.00,"LAS","Las Vegas, NV","SMF","Sacramento, CA",2,
1.00,"PHX","Phoenix, AZ","SFO","San Francisco, CA",2,
1.00,"LAX","Los Angeles, CA","ONT","Ontario, CA",2,
1.00,"OGG","Kahului, HI","LAX","Los Angeles, CA",1,
1.00,"OGG","Kahului, HI","LAX","Los Angeles, CA",1,
1.00,"LAX","Los Angeles, CA","DTW","Detroit, MI",2,
1.00,"LAX","Los Angeles, CA","DTW","Detroit, MI",2,
1.00,"LAX","Los Angeles, CA","DCA","Washington, DC",2,
1.00,"SAN","San Diego, CA","MKE","Milwaukee, WI",2,
1.00,"IAH","Houston, TX","SFO","San Francisco, CA",2,
1.00,"MCI","Kansas City, MO","SAN","San Diego, CA",2,
1.00,"MSN","Madison, WI","LAX","Los Angeles, CA",1,
1.00,"SEA","Seattle, WA","LAX","Los Angeles, CA",1,
1.00,"LAX","Los Angeles, CA","AFW","Dallas/Fort Worth, TX",1,
1.00,"SMF","Sacramento, CA","SLC","Salt Lake City, UT",2,
1.00,"SMF","Sacramento, CA","SLC","Salt Lake City, UT",2,
1.00,"TPA","Tampa, FL","SFO","San Francisco, CA",1,
1.00,"ONT","Ontario, CA","DFW","Dallas/Fort Worth, TX",1,
1.00,"ONT","Ontario, CA","DFW","Dallas/Fort Worth, TX",1,
1.00,"BFI","Seattle, WA","OAK","Oakland, CA",2,
1.00,"BUR","Burbank, CA","MDW","Chicago, IL",1,
1.00,"ONT","Ontario, CA","VWI","California City, CA",1,
1.00,"SJC","San Jose, CA","ATL","Atlanta, GA",2,
1.00,"OAK","Oakland, CA","BUR","Burbank, CA",4,
1.00,"OAK","Oakland, CA","HOU","Houston, TX",4,
1.00,"OAK","Oakland, CA","LWS","Lewiston, ID",4,
1.00,"OAK","Oakland, CA","PDX","Portland, OR",4,
1.00,"OAK","Oakland, CA","RNO","Reno, NV",4,
1.00,"OAK","Oakland, CA","SFO","San Francisco, CA",4,
1.00,"ONT","Ontario, CA","SAN","San Diego, CA",4,
1.00,"ONT","Ontario, CA","SJC","San Jose, CA",4,
1.00,"PDX","Portland, OR","SMF","Sacramento, CA",4,
1.00,"PHX","Phoenix, AZ","BUR","Burbank, CA",4,
1.00,"SFO","San Francisco, CA","LAX","Los Angeles, CA",1,
1.00,"SFO","San Francisco, CA","LAX","Los Angeles, CA",1,
1.00,"SFO","San Francisco, CA","JAC","Jackson, WY",1,
1.00,"BUR","Burbank, CA","SLC","Salt Lake City, UT",2,
1.00,"SLC","Salt Lake City, UT","SMF","Sacramento, CA",2,
1.00,"CIC","Chico, CA","ACV","Arcata/Eureka, CA",1,
1.00,"AZA","Phoenix, AZ","OAK","Oakland, CA",2,
1.00,"SMF","Sacramento, CA","DEN","Denver, CO",2,
1.00,"EIL","Fairbanks, AK","SJC","San Jose, CA",1,
1.00,"DAL","Dallas, TX","ONT","Ontario, CA",1,
1.00,"DEN","Denver, CO","SJC","San Jose, CA",1,
1.00,"PHX","Phoenix, AZ","SFO","San Francisco, CA",1,
