,group
LAX,0.959042539138662
ORF,0.0
BNA,0.0682169858496325
SJC,0.0
FAT,0.0002825134253254315
DSM,0.0
PDX,0.1785477966906177
MAF,0.0
OAK,0.3058784441225101
SAT,0.04394099685244124
IAH,0.0014702703007287551
SNA,0.42418510436532747
SGF,0.0
JAC,0.0
SMX,0.0
LAS,0.0890219950057183
SMF,0.3575080773998817
MSP,0.0
LGB,0.0
COS,0.03162614977662616
BUR,0.15003652952791033
STL,0.0
JAX,0.0
SLC,0.10168964685882194
PSP,0.0
MKE,0.0
SFO,0.7292557787180947
EUG,0.0
SAN,0.5319941733932323
SEA,0.012842318082209462
BOI,0.25475928286638466
DEN,0.009440550167816699
ONT,0.21359097691260082
BWI,0.0
CVG,0.0
JFK,9.53338007342822e-05
ACV,0.0
PHX,0.0372993470704319
MDW,0.0
HNL,0.0
ATL,0.0026562445207451426
IAD,0.006405126708332651
MRY,0.0
MEM,0.0005158352932795647
SBA,0.0009793333360092972
MIA,0.0
DFW,0.07637200034665075
AUS,0.005165785162853012
RNO,0.003371159976071019
BDL,0.020794750301990097
ORD,0.02602322265619098
ASE,0.0
EWR,0.0
PHL,0.0020194341344076066
HOU,0.0
DTW,0.0
RDM,0.0
CLT,0.0
OGG,0.051379400350941004
MCO,0.0
LGA,0.0
TUS,0.05987664798134355
DAL,0.0
ABQ,0.0
DCA,0.00792452432294126
GEG,0.0
BOS,0.0
RDD,0.0
YUM,0.0
IND,0.0
MSY,0.0
CIC,0.0
MCI,0.0
FLL,0.12147371558832172
MFR,0.0
CMH,0.0
LIH,0.0
ELP,0.0
KOA,0.004205536221971512
CLE,0.0
IPL,0.0
SJU,0.0
SBP,0.0
EGE,0.0
CEC,0.0
CLD,0.0
AMA,0.0
FAR,0.0
AZA,0.0
MMH,0.016814467387700004
TPA,0.0
RSW,0.0
PIT,0.0
PSC,0.0
LBB,0.0
BZN,0.0
LMT,0.0
BUF,0.0
OTH,0.0
MOD,0.0
OKC,0.0
SAF,0.0
OMA,0.0
