,group
LAX,2
ORF,2
BNA,2
SJC,2
FAT,2
DSM,2
PDX,2
MAF,2
OAK,2
SAT,0
IAH,1
SNA,2
SGF,2
JAC,0
SMX,0
LAS,1
SMF,2
MSP,0
LGB,2
COS,1
BUR,2
STL,0
JAX,2
SLC,2
PSP,1
MKE,2
SFO,2
EUG,1
SAN,2
SEA,1
BOI,2
DEN,1
ONT,2
BWI,1
CVG,0
JFK,0
ACV,1
PHX,1
MDW,1
HNL,0
ATL,0
IAD,0
MRY,2
MEM,0
SBA,0
MIA,0
DFW,2
AUS,0
RNO,0
BDL,2
ORD,2
ASE,0
EWR,1
PHL,1
HOU,0
DTW,0
RDM,1
CLT,0
OGG,2
MCO,0
LGA,0
TUS,2
DAL,0
ABQ,1
DCA,1
GEG,2
BOS,0
RDD,1
YUM,0
IND,0
MSY,0
CIC,1
MCI,1
FLL,1
MFR,2
CMH,0
LIH,0
ELP,0
KOA,0
CLE,1
IPL,2
SJU,2
SBP,1
EGE,0
CEC,2
CLD,0
AMA,2
FAR,0
AZA,2
MMH,2
TPA,1
RSW,1
PIT,1
PSC,1
LBB,1
BZN,1
LMT,2
BUF,1
OTH,1
MOD,1
OKC,0
SAF,2
OMA,0
