,group
LAX,7.799564306502029
ORF,0.0
BNA,0.0004485502055417522
SJC,0.9708516249420271
FAT,0.0
DSM,8.439228078603832e-05
PDX,0.0607259924822329
MAF,0.0
OAK,0.5259754246570577
SAT,0.0
IAH,0.014110247200866002
SNA,0.6859549157575773
SGF,0.0
JAC,0.0
SMX,0.0
LAS,0.039593337277058
SMF,0.3686956904138684
MSP,0.0
LGB,0.21313228729736633
COS,0.0
BUR,0.13772895511824854
STL,0.0
JAX,0.0
SLC,0.0071391908570512625
PSP,0.08290199487727286
MKE,0.0
SFO,3.534342300602672
EUG,0.0
SAN,1.4062175550497078
SEA,0.0010145672622058196
BOI,0.0
DEN,0.005025246936427589
ONT,0.0
BWI,0.0
CVG,0.0
JFK,0.0
ACV,0.0
PHX,0.10657224374913823
MDW,0.0014279234892747886
HNL,0.0
ATL,0.0
IAD,0.0
MRY,0.0003292639985437295
MEM,0.0
SBA,0.0
MIA,0.0
DFW,0.020275625756737806
AUS,0.0005959733921560636
RNO,0.0002065969307665516
BDL,0.0
ORD,0.0
ASE,0.0
EWR,0.0
PHL,0.0
HOU,0.0
DTW,0.009591511035065252
RDM,0.0
CLT,0.0
OGG,0.0
MCO,0.0
LGA,0.0
TUS,0.0
DAL,0.0
ABQ,0.0
DCA,0.0
GEG,0.0
BOS,0.0
RDD,0.0
YUM,0.0
IND,0.0
MSY,0.0
CIC,0.0
MCI,0.001990086249555899
FLL,0.0
MFR,0.0
CMH,0.0
LIH,0.0
ELP,0.0
KOA,0.0
CLE,0.0
IPL,0.0
SJU,0.0
SBP,0.0029131712833464934
EGE,0.0
CEC,0.0
CLD,0.0
AMA,0.0
FAR,0.0
AZA,0.0
MMH,0.0
TPA,0.0
RSW,0.0
PIT,0.0
PSC,0.0
LBB,0.2500670244201076
BZN,0.0
LMT,0.0
BUF,0.17591120858636863
OTH,0.0
MOD,0.0
OKC,0.0
SAF,0.0
OMA,0.0
