,group
LAX,0.0
ORF,77.0
BNA,100.0
SJC,3.0
FAT,92.0
DSM,19.0
PDX,66.0
MAF,7.0
OAK,23.0
SAT,64.0
IAH,89.0
SNA,12.0
SGF,12.0
JAC,34.0
SMX,14.0
LAS,102.0
SMF,16.0
MSP,17.0
LGB,18.0
COS,19.0
BUR,94.0
STL,94.0
JAX,22.0
SLC,23.0
PSP,24.0
MKE,84.0
SFO,92.0
EUG,42.0
SAN,6.0
SEA,29.0
BOI,35.0
DEN,31.0
ONT,100.0
BWI,33.0
CVG,60.0
JFK,66.0
ACV,36.0
PHX,37.0
MDW,95.0
HNL,39.0
ATL,88.0
IAD,55.0
MRY,42.0
MEM,35.0
SBA,82.0
MIA,0.0
DFW,46.0
AUS,47.0
RNO,48.0
BDL,49.0
ORD,82.0
ASE,43.0
EWR,52.0
PHL,53.0
HOU,86.0
DTW,82.0
RDM,56.0
CLT,82.0
OGG,95.0
MCO,84.0
LGA,15.0
TUS,61.0
DAL,62.0
ABQ,84.0
DCA,64.0
GEG,35.0
BOS,95.0
RDD,102.0
YUM,68.0
IND,55.0
MSY,15.0
CIC,15.0
MCI,15.0
FLL,43.0
MFR,87.0
CMH,75.0
LIH,76.0
ELP,91.0
KOA,14.0
CLE,41.0
IPL,36.0
SJU,81.0
SBP,82.0
EGE,83.0
CEC,55.0
CLD,76.0
AMA,87.0
FAR,93.0
AZA,88.0
MMH,87.0
TPA,90.0
RSW,91.0
PIT,92.0
PSC,93.0
LBB,94.0
BZN,95.0
LMT,36.0
BUF,0.0
OTH,98.0
MOD,84.0
OKC,53.0
SAF,87.0
OMA,102.0
