,group
LAX,7.799564306502029
ORF,0.0
BNA,0.0
SJC,0.9708516249420274
FAT,0.00020588174261643088
DSM,0.0
PDX,0.10993371316437052
MAF,0.16258562010152441
OAK,0.0
SAT,0.0
IAH,0.0
SNA,0.6859549157575773
SGF,0.0
JAC,0.0
SMX,0.0
LAS,6.24878087123368e-05
SMF,0.5259754246570577
MSP,0.009225591940052399
LGB,0.23416366460871044
COS,0.0
BUR,0.05968387641859765
STL,0.0
JAX,0.0
SLC,0.02563376630105463
PSP,0.1297544042695335
MKE,0.2711170089145047
SFO,3.534342300602672
EUG,0.0
SAN,1.4062175550497074
SEA,0.017324776763335742
BOI,0.0058620917560579895
DEN,0.021309750120897763
ONT,0.4237034544672741
BWI,0.0
CVG,0.0
JFK,0.0
ACV,0.0
PHX,0.03612810828319247
MDW,0.19803396219316868
HNL,0.0
ATL,0.0009492949796893424
IAD,0.0
MRY,0.09020373859783805
MEM,0.0
SBA,0.0019242960081512729
MIA,0.0
DFW,0.0
AUS,0.013330847304765697
RNO,0.003573459707081667
BDL,0.0
ORD,0.0
ASE,0.0
EWR,0.0
PHL,0.0
HOU,0.000295635017857991
DTW,0.04783877910724321
RDM,0.0
CLT,0.0
OGG,0.030550436337522264
MCO,0.0006903136889065018
LGA,0.0
TUS,0.0004366482322757956
DAL,0.0
ABQ,0.0
DCA,0.0
GEG,0.32370584982498773
BOS,0.0
RDD,0.0
YUM,0.0
IND,0.0
MSY,0.0
CIC,0.0
MCI,0.0
FLL,0.0
MFR,0.0
CMH,0.0732100938937633
LIH,0.0
ELP,0.0
KOA,0.0
CLE,0.0
IPL,0.0
SJU,0.0
SBP,0.0
EGE,0.0
CEC,0.0
CLD,0.0
AMA,0.0001229816881239067
FAR,0.0
AZA,0.0
MMH,0.0
TPA,0.0
RSW,0.0
PIT,0.0
PSC,0.0
LBB,0.0
BZN,0.0
LMT,0.0
BUF,0.0
OTH,0.0
MOD,0.0
OKC,0.0
SAF,0.0
OMA,0.0
